job_title,salary_usd,years_of_experience,city,jd
Sales Executive (No Experience Required) - Up to 35 Million VND Plus Guaranteed Salary,480.0,1.0,Hanoi,"Develop and implement business plans to achieve sales targets and expand the client base.
Develop and manage customer portfolios; monitor and drive sales performance within assigned accounts.
Provide exceptional customer support before, during, and after the sale to ensure satisfaction and retention.
Develop personal branding and presence on social platforms including TikTok, Zalo, and Facebook to promote sales activities.
Meet and engage with potential clients; build a professional image and work in a collaborative team environment.
Requirements: University degree (Bachelor/College); age 25-40; passion for sales and a professional work style; prior sales, banking, insurance, or entrepreneurship experience is a plus."
Automation/Manual Tester - QCQA,1600.0,2.0,Hanoi,"Conduct manual and automated testing to ensure high-quality software for e-commerce solutions.
Review requirements, user documentation, and project documentation to create test plans and cases; execute manual test cases as required.
Develop and maintain automated test scripts using Playwright, Appium, or similar technologies; integrate automation with the CI/CD pipeline.
Write and maintain API tests; log bugs, assess severity, and track defect status; report progress to leadership.
Collaborate with an Agile team; ensure proper version control and configuration management of test objects and environments; document findings.
Perform non-functional testing when applicable (e.g., performance, security) and continuously improve testing processes."
Telesales / Consulting / Sales Executive in Hanoi,400.0,2.0,Hanoi,"Make outbound calls to hot leads provided to introduce products and services.
Advise and answer customer questions to best meet their needs.
Manage customer information and continuously update it in the CRM system.
Report weekly progress and sales results to a supervisor.
Build and maintain customer relationships while achieving sales targets.
Demonstrate persistence and handle objections professionally."
System Administrator,600.0,3.0,Hanoi,"Ensure network security and internet infrastructure, configure VPN, monitor multisite connections, implement load balancing, and manage firewalls (IPsec).
Maintain smooth operation of Microsoft Dynamics 365, SQL Server databases, NAV, and POS systems.
Administer and support mail servers (Exchange, Zimbra), virtualization platforms (VMware, KVM), and backup systems (Veeam).
Manage MS 365 suite, licensing, Teams, SharePoint, and tenant configurations.
Administer and configure network devices and security solutions: PfSense/Untangle/iptables/ASA firewalls, Cisco/Fortinet/MikroTik devices; implement VOIP integration.
Troubleshoot and propose improvements for network/system performance, disaster recovery planning, and ongoing technical support."
"Assistant to Deputy General Director, Business Affairs",400.0,2.0,Hanoi,"Set sales targets and plans and present proposals to the Deputy General Director.
Organize information management and customer care.
Receive and process orders.
Monitor and urge debt collection by the Accounting Department for the assigned channel.
Manage and supervise the team members in the responsible group.
Prepare for and participate in meetings as directed by the Deputy General Director.
Perform other tasks as assigned."
Regional Business Manager (Nationwide),400.0,1.0,An Giang and 28 other locations,"Manage the sales team without direct selling responsibilities and provide guidance to leadership.
Advise leadership and develop plans to implement and execute business activities across the organization.
Oversee regional and group operations to achieve assigned business targets while ensuring compliance with policies and procedures.
Plan and execute sales activities for the regional group and support recruitment and development of the sales network.
Train, coach, and mentor agents on product knowledge and job-related skills.
Monitor business activities, motivate agents, and perform additional tasks as assigned by leadership."
Area Sales Manager - OTC Channel,720.0,3.0,Hanoi and 5 other locations,"Be responsible for OTC channel sales targets and the assigned regional area, including Hanoi and additional locations.
Collaborate with departments to develop sales policies and incentive schemes for the field sales team.
Recruit, manage, and develop the Medical Representatives; build and maintain relationships with pharmacies and drugstores in the covered area.
Receive orders from pharmacies and forward to the sales administration team; collect and report market information to support Marketing activities.
Coordinate with Sales Admin and Warehouse to monitor sales, manage inventory, ensure timely deliveries, minimize stockouts and near-expiry items, and handle returns and distribution efficiently.
Coordinate with Finance and HR to calculate salaries, bonuses, and selling expenses; implement compensation and related costs."
Java Developer,1000.0,0.0,Hanoi,"Participate in software project development across banking, finance, and English-speaking markets; design, code, and perform unit testing for applications.
Review code and assist team members; collaborate across groups to drive project development.
Execute tasks assigned by the Team Lead or Project Manager; coordinate with multiple groups to deliver project goals.
Require at least 3 years of Java experience; proficient with Java web frameworks such as Spring MVC, Spring Boot, or Hibernate.
Basic knowledge of at least one frontend framework (Vue, React, Angular) to develop interactive user interfaces; understanding of microservice architecture.
Solid knowledge of HTML, CSS, and JavaScript; experience with message queues (ActiveMQ, Kafka) and relational (SQL Server, PostgreSQL) and NoSQL (Cassandra, MongoDB) databases; familiarity with Linux."
Aesthetic Sales Consultant,2400.0,1.0,Hanoi,"Conduct end-to-end sales process from greeting, consultation, quotation, negotiation to order closure and contract follow-up.
Advise clients on beauty and cosmetic services; upsell services with strong client retention.
Meet monthly and quarterly KPIs and sales targets with a steady flow of customers.
Listen to client needs, understand preferences and style to offer suitable recommendations.
Maintain post-sale customer care and follow-up.
Collaborate with the team to ensure customer satisfaction and professional service."
Pharmaceutical Sales Manager,720.0,2.0,Long An and 7 other locations nationwide,"Provide strategic input to the CEO on sales plans and market development.
Manage OTC Sales Representatives to achieve monthly, quarterly, and annual sales targets.
Support field sales activities and address issues encountered by sales staff.
Oversee customer debt collection and report sales results to senior management.
Develop and expand the existing customer base and identify new opportunities within the region.
Coordinate with Marketing to implement promotions and after-sales programs for customers; collaborate with HR to recruit, set targets, and train the sales team; monitor performance.
Report on sales performance and market dynamics, including competitor activities and new product introductions."
Bridge System Engineer (BrSE),3400.0,0.0,Hanoi,"Collaborate directly with Japanese clients, participating from requirements definition through design and development.
Coordinate with offshore teams to identify the root causes of issues and propose effective solutions.
Plan and monitor project progress to ensure timely delivery.
Conduct quality assurance on project deliverables prior to handover to clients.
Requirements: at least 3 years of experience as BrSE with JLPT N1; strong communication, problem-solving, and negotiation skills.
Work at the Tokyo office.
Opportunity to become a key member and contribute to delivery success."
Deputy Head of Sales,1200.0,1.0,"Hanoi, Northern Vietnam","Develop and implement sales strategies for the insurance sales department.
Manage, lead, and develop the insurance sales team to achieve targets.
Plan business activities and set sales targets for individuals and the department.
Analyze market and competitors to propose initiatives to improve sales effectiveness.
Build and maintain relationships with key clients and manage the existing client portfolio.
Monitor customer care processes and resolve arising issues; report performance to senior management.
Suggest product and service improvements based on customer feedback."
Deputy Head of Sales,1200.0,1.0,"Hanoi, Northern Vietnam","Develop and implement the business strategy for the insurance sales division.
Manage and develop the sales team focused on insurance products.
Plan sales targets and allocate quotas for individual employees and the department.
Analyze market, competitors, and propose actions to improve sales performance.
Build and maintain relationships with major clients and manage the existing client portfolio.
Monitor customer care processes and resolve issues; report results to the leadership.
Recommend product and service improvements based on customer feedback."
Business Manager - Import and Export,600.0,2.0,Ho Chi Minh City,"Responsible for all import-export operations of the company.
Manage customs procedures and documents for import-export, including export-import documents, sales contracts, and transfer procedures.
Receive, verify, and reconcile shipment documents to ensure accurate quantities during customs clearance at the border.
Represent the company in meetings with customs authorities and classify tariffs.
Monitor and supervise goods during transportation; stay updated on changes in laws and regulations related to import-export.
Advise on customs procedures, insurance requirements, and other customs-related matters for the company.
Develop business plans and growth strategies to achieve targets; manage and train staff to develop the team."
Business Development Manager - GT Channel / ASM GT,600.0,3.0,Ho Chi Minh City,"Maintain and open new distributors and mini supermarkets to ensure coverage targets for products.
Identify and develop key account chains across the GT channel.
Recruit and train staff as needed.
Monitor sales performance of agents and outlets; propose timely promotional programs to stimulate sales.
Build sales plans and conduct analysis and evaluation to develop the market.
Requirements: male or female, under 50 years old; 3–4 years of experience in foods, imported foods, alcoholic beverages, or dietary supplements; established client/agent/customer file and regional shop network; strong communication skills and proficient computer literacy; ability to work in a team, plan, and execute; budgeting, analysis, and reporting capabilities."
Business Manager (Remote),1000.0,3.0,Ho Chi Minh City,"Develop and adjust business strategies by analyzing market trends, customer demand, and competitive factors to optimize advertising and sales efforts.
Monitor and evaluate the performance of the sales team and implement measures to improve productivity and efficiency.
Manage and nurture customer relationships, with regular reporting on business results and evaluation of team activities to propose improvements.
Ensure business strategies align with the company's overall objectives and drive sustainable growth.
Qualifications: Bachelor's degree in Business Administration, Marketing, or related fields; 3–5 years of experience in business or e-commerce sales; 2–3 years in a managerial role.
Key skills: leadership, communication, negotiation, presentations, training, and people development.
Location: Ho Chi Minh City, Binh Thanh district; flexible working arrangement."
Senior Front-End Developer (Angular),1000.0,0.0,Unknown,"Design and implement scalable web applications for digital banking, focusing on performance, quality, and security.
Ensure code quality, clarity, maintainability, extensibility, and low defect rate.
Stay updated on emerging technologies and propose innovative solutions to improve platform quality.
Design, maintain, and develop web systems as required; collaborate with team, designers, and BAs on UI/UX and API integration with backend.
Utilize Angular 9+ with TypeScript, RxJS, Angular Material, PrimeNG; apply core Angular techniques (components, directives, DI) and optimize performance; build responsive apps; manage state with NgRx/Akita/NGXS.
Preferred: experience with Redux pattern/state management, RESTful APIs, WebSocket; AWS experience; Git proficiency; OOP knowledge; Agile/Scrum experience."
Admissions Recruitment Specialist - Hanoi,440.0,1.0,Hanoi,"Introduce, advise, and design personalized study plans tailored to the needs of learners.
Build and expand a network of prospective students beyond the provided data.
Plan and report individual recruitment results aligned with business goals and monthly recruitment plans.
Create and finalize training contracts; coordinate cross-departmentally; receive and forward student feedback on service quality.
Proactively monitor and stay informed about competitors' activities; attend and coordinate activities in periodic training programs.
Resolve issues arising from counseling with clients and perform other tasks as assigned by management; qualifications include bachelor's degree (preferred majors: finance, banking, accounting), at least 1 year of experience in a consultant/advisory role, strong communication and problem-solving skills, and presentable appearance."
Head of Vehicle and Tire Sales Department,480.0,3.0,Ninh Binh,"Responsible for budgeting targets, customer segments, data standards, monthly/weekly targets, and business KPIs.
Coordinate with sales staff to plan sales strategies for assigned products.
Implement and allocate tasks to ensure achievement of targets and safeguard the plan before deployment.
Own final responsibility for the quality and effectiveness of all sales campaigns from strategy to execution.
Organize development and optimization of processes for coordination within the Sales Department; optimize workflows and reporting templates.
Build and optimize work processes and performance measurement/reports; manage training and motivation for staff.
Prepare daily, weekly, and monthly work reports for superiors; propose ideas to improve business plans and actively study market, customers, targets to optimize sales activities."
Admissions Advisor / Course Advisor / Sales Associate / Customer Service,280.0,1.0,Hanoi,"Receive and process potential student leads from seminars and marketing campaigns.
Advise and respond to inquiries about programs and guide applicants on procedures, tuition, and enrollment.
Plan and coordinate information sessions, campus tours, admissions counseling, and school events.
Participate in events and fairs to introduce the school to parents and nurture leads.
Build and maintain strong relationships with families and prospective students to deliver excellent service.
Candidates should have a business or marketing degree (or related) and at least 1 year of experience in admissions, sales, or business development; basic English is preferred."
Fullstack Developer (English Support) - 2 to 7 Years Experience,800.0,0.0,"Hanoi, Vietnam","Participate in developing client web projects, analyze requirements, design systems and databases, and implement features.
Work in Agile/Scrum, plan, execute, monitor, and report work for each Sprint.
Support training, share knowledge, and review code for team members; contribute to team growth and leadership when experienced.
Research and adopt new technologies to be applied to projects.
Requirements: Bachelor’s degree in IT or related field; at least 1 year of Web Development experience with Backend (Node.js, Express, NestJS) or equivalent (PHP Laravel, Rails, etc.).
At least 1 year of Frontend experience with React/Next.js or Vue/Nuxt.js; strong knowledge of web development (HTML/CSS/JavaScript) and responsive design; understanding of OOP, coding conventions, and architecture patterns (MVC, MVP, MVVM).
Experience with RESTful API, design patterns, and database design with RDBMS (MySQL, PostgreSQL) or NoSQL (MongoDB, DynamoDB); ability to learn quickly and work independently or in a team; good English communication."
Area Sales Manager (OTC Channel),720.0,3.0,Hanoi; Ho Chi Minh City; Da Nang; Can Tho; Binh Duong; Dong Nai,"Responsible for achieving OTC channel and regional sales targets in assigned markets.
Collaborate with departments to establish sales policies and incentive schemes; recruit, manage, and develop Medical Representatives.
Build and maintain relationships with customers, pharmacies, and drugstores in the designated area; process orders with sales admin.
Collect market intelligence and feed back to Marketing to support campaigns; monitor sales and coordinate with Sales Admin and Warehouse on stock levels to meet targets and minimize stockouts and expired products.
Work with Accounting & HR to calculate salaries, bonuses, and selling expenses; manage overall OTC field operations.
Requirements: degree in Pharmacy/Medicine, Business Administration, Economics; 2–4 years OTC management experience in pharma or functional foods; preferably knowledge of traditional Đông y medicine; strong communication, negotiation, and persuasion skills; able to work under sales pressure."
Java Technical Leader,2000.0,0.0,"Hanoi, Vietnam","Lead Java-based software development for a web application using the Java ecosystem and open-source technologies.
Develop applications based on graphical layout designs, ensuring alignment with requirements and quality standards.
Own production services, including incident response, problem investigation, root cause analysis, and resolution.
Design and implement RESTful APIs and microservices; apply secure coding practices and follow established design patterns.
Collaborate across technical teams, mentor colleagues, and drive adoption of cost-effective, high-quality solutions.
Participate in and contribute to agile Scrum processes; establish development estimates and propose technical solutions with customers.
Continuously research and implement new technologies (e.g., cloud, containers) to maximize development efficiency and product quality."
Sales Executive - Modern Trade (Supermarket Channel),320.0,1.0,Hanoi,"Conduct market research, identify and open new sales points at supermarkets and malls within the assigned area.
Support training and manage staff at points of sale.
Monitor and update sales activities at outlets.
Work directly with supermarket and mall partners to deploy pop-up sales points.
Track receivables, remind agencies of payment schedules and stock delivery plans.
Propose and implement sales programs, discount policies, incentive schemes, and gifts for outlets; supervise promotional activities."
IT Staff,400.0,1.0,Hai Phong,"Install, repair, and maintain computer and network systems.
Manage server systems and execute related technical tasks.
Administer internal information systems: data, email, intranet, software, internet, telephony, and devices.
Operate and maintain hardware, ensuring data and IT system security.
Create videos for company special occasions.
Collaborate with the IT team and adhere to company IT policies."
Regional Business Manager - Nationwide,400.0,1.0,An Giang and 28 other locations nationwide,"Oversee a business sales team without direct selling to customers, ensuring attainment of targets.
Provide strategic advice to leadership and develop plans to implement business initiatives.
Lead the Ban/Group operations to meet assigned business goals while ensuring compliance with policies and procedures.
Plan and execute sales activities for the Ban/Group, including recruitment planning and system development support.
Train and coach agents on product knowledge and job-related skills; monitor sales activities and motivate the team.
Perform additional tasks as assigned by leadership."
Fullstack Developer (English) - 2 to 7 Years Experience,800.0,2.0,"Hanoi, Vietnam","Participate in developing client web projects, analyze requirements, design system and databases, and implement features.
Follow Agile/Scrum methodologies, plan, execute, monitor, and report work by each Sprint.
Assist in training, knowledge sharing, and code reviews for team members; participate in team building and leadership if experienced.
Research and adopt new technologies to be applied to projects.
Requirements: IT degree or related field; minimum 2 years of web development with backend NodeJS (Express, NestJS) or equivalent (PHP Laravel, Rails), and minimum 1 year with frontend frameworks (React/NextJS or Vue/Nuxt). Strong web development knowledge (HTML/CSS/JavaScript), responsive design; experience with OOP, coding conventions, and architecture patterns (MVC, MVP, MVVM); understanding of RESTful API and design patterns; experience with databases (MySQL, PostgreSQL) or NoSQL (MongoDB).
Good communication in English to interact with clients; willingness to work independently and in a team; proactive learner."
Head of Wholesale Sales,600.0,2.0,Hanoi,"Develop and implement strategy to explore and grow the wholesale fashion market.
Collect and analyze market data to identify potential markets and opportunities.
Advise leadership on strategic plans, budgeting, and wholesale operations.
Collaborate with Marketing to plan and execute campaigns targeting potential customers.
Manage execution of sales plans, propose pricing, promotions to drive revenue and brand growth.
Develop and implement sales policies, incentive programs, and customer relationship management with both existing and potential customers.
Monitor inventory and accounts receivable; report weekly/monthly/quarterly performance to senior management."
Team Leader - Female Fashion Page Direct Sales,400.0,2.0,Hanoi,"Lead the sales team for the female fashion page, coordinating full-time and part-time sales and shift coverage.
Manage data and workload distribution, ensuring appropriate coverage and performance.
Recruit, train, and develop online sales team; conduct regular coaching and 1:1 reviews.
Build and monitor daily sales performance reports; optimize strategies to improve conversion.
Develop and optimize sales processes, client care for existing customers, and product-specific consulting scripts.
Collaborate with marketing to plan campaigns and achieve KPIs; analyze market and competitors to propose promotions and sales support."
IT Security Specialist,1000.0,2.0,Hanoi,"Assess and propose security solutions for the company's IT systems.
Build, implement, and maintain information security policies, procedures, and network security systems.
Monitor, detect, analyze, and respond to cybersecurity incidents.
Research vulnerabilities and latest attack methods; stay updated on security trends.
Train and raise security awareness among employees; participate in building the security team.
Report to management on the organization's cybersecurity status."
Technical Manager,2400.0,5.0,Hanoi,"Develop and maintain large-scale backend systems and deploy new solutions.
Collaborate with project teams to analyze requirements and translate them into technical designs.
Document technical specifications, workflows, and project communications; prepare technical proposals as needed.
Assist in preparing and managing technical documents; support estimation and planning for new projects.
Research and apply new technologies to company projects; contribute to system architecture and design patterns.
Coordinate with project leaders and stakeholders to ensure timely, high-quality project delivery; report issues to management."
Marketing Staff,400.0,0.5,"Hanoi, Vietnam","Receive one-on-one training from the Marketing Leader or Marketing Director.
Learn the company's product, conduct customer research, and analyze customer personas.
Research markets in Korea, Japan, Taiwan, and Malaysia to introduce products to those countries.
Create visuals (photos, videos) and content, and develop landing pages; plan and execute marketing campaigns on Facebook with a focus on conversions.
Target audiences and steer campaigns toward key and potential customers; analyze and adjust metrics to improve performance quickly.
Measure, evaluate, and optimize content, costs, and conversion rates; compile statistics and analyze marketing effectiveness."
Regional Business Manager,480.0,2.0,Dong Nai,"Implement and monitor regional plans, sales support activities, programs, and projects within the assigned area.
Prepare reports evaluating the effectiveness of implemented actions.
Manage, assign, and support sales staff to achieve sales targets.
Build, train, guide, and develop subordinate sales teams.
Work at the Tan Binh office and in the managed regions with regular office hours from 07:00 to 16:30.
Require male candidate with college degree, ownership of a motorbike, and at least 2 years of relevant experience; willingness to work in provincial assignments."
Sales Associate,240.0,0.0,Hanoi,"Greet customers and provide product information to assist purchasing decisions.
Display and maintain cleanliness and organization of goods on shelves.
Manage displayed merchandise in the assigned area, including quantity, quality, and packaging for checkout when needed.
Assist other departments as required to ensure smooth store operations.
Proficient in basic office computer use and capable of accessing the store's system software.
Presentable appearance with a clear, pleasant speaking voice; avoid strong regional dialects."
Regional Manager - ASM (Traditional Channel),800.0,2.0,Hanoi,"Manage designated regional sales area for agricultural machinery and home appliances.
Develop the market and acquire new customers in the assigned region; implement sales plans to meet company targets.
Maintain pricing, update products, sales policies, and promotions for customers.
Gather competitive intelligence and report on market conditions and trends.
Handle customer complaints related to product quality, delivery time, and warranty; coordinate with relevant departments; assist with accounts receivable within managed customers.
Prepare and submit weekly and monthly reports and perform other duties as assigned by the supervisor."
Marketing Officer (Facebook Ads / Tiktok Ads) - Male,520.0,2.0,"Hanoi, Vietnam","Create advertisements for 1–3 specified services, coordinating with designers/editors and content producers to generate media assets (images/videos) tailored to campaign goals.
Develop and launch new campaigns; prepare ad accounts, trackers, and access credentials; optimize daily advertising costs.
Meet with clients to discuss project adjustments and ensure alignment with objectives; participate in training to improve skills.
Produce daily, weekly, and monthly performance reports; maintain up-to-date campaign documentation.
Contribute to ongoing optimization efforts and perform other duties as assigned.
Require collaboration with team members, strong initiative, and the ability to manage multiple campaigns across digital platforms."
Regional Sales Manager,480.0,2.0,"Dong Nai, Ho Chi Minh City, Binh Duong","Implement and supervise regional sales plans, campaigns, and activities to support sales growth.
Prepare and present reports evaluating the effectiveness of initiatives and performance.
Manage, assign, and support sales staff to achieve sales targets across the region.
Build, train, guide, and develop subordinate sales personnel to improve performance.
Work at the Tan Binh District office and within the managed regional areas."
FrontEnd Team Lead (VueJs),1400.0,0.0,Hanoi,"Lead frontend development for Vue.js-based interfaces, translating design files into implemented UI.
Collaborate with the backend team to implement UI/UX features and improve user experience.
Design and develop web applications, creating detailed design documents, APIs, and database considerations for features.
Drive code quality, enforce coding standards, and participate in system design reviews.
Manage and mentor team members, plan activities, provide training, and enhance skills of the team.
Analyze requirements, propose technical solutions, and ensure project quality."
Software Developer (Web and Mobile),1000.0,0.0,Ho Chi Minh City,"Responsible for designing modules and delivering software applications for the company.
Write code, perform unit testing, and participate in coding and development across front-end and back-end components.
Analyze requirements, design systems, research new technologies, and propose solutions for products and services.
Review change requests related to business operations; participate in system analysis and design processes.
Optimize and upgrade source code to improve efficiency, stability, and security.
Maintain and develop the company's websites, codebase, and data structures.
Complete other tasks as assigned by superiors."
Branch Operations Manager (Beverage Preparation Division),720.0,3.0,Nghệ An,"Responsible for meeting revenue targets; develop sales promotion plans and supervise execution.
Manage, recruit, train, and develop staff; build organizational structure suitable to center operations; forecast staffing needs and collaborate with HR to recruit; plan training to ensure knowledge and skills; supervise compliance with company policies.
Manage branch costs, assets, and equipment; control material costs; oversee equipment usage and maintain low damage/loss.
Oversee branch operations; coordinate with departments to ensure stable and efficient business; supervise staff; resolve incidents.
Handle customer service; implement and monitor customer feedback programs; directly resolve customer complaints and provide optimal solutions.
Other duties: weekly, monthly, quarterly, yearly reports to CEO; monthly sales performance reporting; protect business information."
Branch Operations Manager (Beverage Preparation),720.0,3.0,Nghệ An,"Responsible for ensuring revenue targets are met and developing sales promotion plans; monitor execution.
Manage recruitment, training, and development; design organizational structure and staffing aligned with branch operations; forecast manpower and collaborate with HR to recruit.
Manage branch costs, assets, and equipment; control material costs according to allocated standards; minimize equipment loss or damage.
Oversee branch activities; coordinate departments to ensure stable, efficient operations; supervise staff performance; resolve incidents.
Manage customer service; implement and monitor customer feedback programs; directly handle customer complaints and make optimal decisions.
Other duties: periodic reporting on business performance to CEO; report monthly sales performance; maintain confidentiality of business information."
Head of Sales - Spa & Health Care,800.0,1.0,Hanoi,"Advise students, spa owners, agents, and distributors on courses and products in the spa and health care sector, and promote usage.
Set targets, manage data, and maintain CRM records; develop business plans and implement sales consulting programs.
Build and execute sales plans; develop new customers in line with the company's strategy and business direction.
Update student/customer data in the CRM; recruit, train, and support the sales team; develop the sales team to align with company goals.
Actively participate in building and promoting personal and company brands within the industry.
Report daily/weekly/monthly workload and revenue; perform other tasks as requested by management."
Regional Manager / Area Manager / ASM,720.0,1.0,Hanoi,"Oversee store operations and regional revenue management.
Control costs including waste, shrinkage, staffing, energy, repairs, and other expenses.
Ensure compliance with processes and regulations: opening/closing shifts, inventory, revenue submission, quality standards, security and labor safety.
Manage equipment, signage, and ensure operations meet standards; monitor inventory and plan weekly orders to meet company targets.
Develop marketing initiatives and activities to boost sales and attract new customers; build strong relationships with customers, colleagues, and landlords.
Manage human resources: recruiting, training, staffing levels, scheduling, communicating new company policies, addressing employee feedback, ensure positive working environment and timely reporting."
Sales Executive / Telesales / Admissions Consultant / Sales Advisor,480.0,0.0,Hanoi,"Advise prospective students on TOEIC and IELTS courses and programs.
Generate and follow up on warm and hot data provided by the company's data marketing.
Responsible for achieving assigned sales targets; prospect and nurture new customers.
Develop potential customers through social media, forums, events, flyers, and partner outreach; report market and competitor insights periodically.
Perform tasks as directed by direct supervisor; maintain customer relationships; communicate product benefits clearly.
Preferred candidates with passion for sales, education sector, creativity; strong telesales skills and clear pronunciation.
Opportunities for career growth into Sales Team Leader; salary reviews conducted every 6 months."
Customer Care Advisor - Haiphong,320.0,0.0,Haiphong,"Receive existing customer data from the domestic shipping company's database.
Advise services that meet the customers' needs.
Handle diverse customers in the shipping sector and provide ongoing customer care.
Assist customers with inquiries and create shipment accounts.
Guide customers when placing orders on the shipping app.
Qualifications: Diploma or university degree, proficient in Microsoft Office (Excel, PowerPoint, Word); no prior experience required; strong listening, analytical, and problem-solving skills; good articulation."
Business Analyst,3400.0,2.0,"Tokyo, Japan","Develop analytical documentation including detailed business requirements, user requirements, and product functionality specifications before handing off to development teams or relevant partners.
Advise clients on changes in requirements between legacy and new platforms.
Create UAT test scenarios and assist end users during product testing.
Produce end-user product manuals and guides.
Serve as a point of contact for training and guidance on business processes with clients, partners, and related departments during project deployment.
Candidates should have a degree in foreign languages or IT, at least 2 years of business analyst experience in IT, fluency in Japanese (N1) including listening, speaking, reading, and writing, and a passion for product research and developing high-value products. Must be able to write documents, train, and present; possess strong project and people management skills, honesty, adaptability, and meticulousness."
Business Development Manager (Remote) - Up to 30 million VND - Immediate Start,1000.0,3.0,Ho Chi Minh City,"Role focuses on developing and implementing business growth strategies for the company.
Analyze market trends, customer needs, and competitive factors to refine advertising and sales strategies.
Monitor and evaluate the performance of the sales team and implement actions to improve productivity.
Manage customer relationships and ensure consistent engagement and satisfaction.
Provide periodic reports on business results, evaluate team activities, and propose improvements.
Ensure business strategies align with the company’s overall goals; collaborate on remote-friendly execution."
Automotive Sales Consultant (Toyota) - No Experience Required (Salary Up to 50 Million),160.0,0.0,Ho Chi Minh City,"Identify, manage, and convert new and potential customers; present products, pricing, services, and promotions to meet customer needs.
Plan and execute sales activities, achieve assigned targets; coordinate with Marketing to implement company strategies including product introductions, customer care, and market development.
Sell new vehicles and bundled products; promote related services (accessories, insurance).
Provide post-sale support and maintain ongoing customer relationships; follow up with customers after purchase.
Participate in training on processes, product knowledge, and selling skills.
Requirements: Diploma/College/University in Economics/Marketing/Business Administration/Automotive; no experience required with training provided; graduates or those awaiting degree preferred; strong communication, presentation, negotiation, and interpersonal skills; good appearance; basic office IT skills; own laptop."
Dermatologist - Spa industry,600.0,2.0,Ho Chi Minh City,"Provide product training on skincare products and mesotherapy injections from European and Korean brands.
Support transfer and adoption of products to spa owners, hospitals, dermatologists, and internal medicine physicians.
Perform other related duties as assigned.
Minimum 2 years of experience as a dermatologist or in dermatology/internal medicine.
Confident in performing filler and botox injections and knowledgeable about active ingredients in dermatology products.
Must hold certificates for filler and botox injections.
Work location: Ho Chi Minh City, 200 Street 3/2, District 10."
IT Interpreter,480.0,2.0,Hanoi,"Directly communicate with Japanese clients via messaging platforms (Slack, Chatwork, email) and online meetings to capture and clarify requirements and provide regular progress reports.
Serve as the liaison between the team and clients, ensuring accurate and timely information exchange about the project.
Learn basic business domain knowledge of the project and relay it to team members.
Translate and manage project-related documents.
Perform project-related tasks and assist the team in testing when needed.
Requirements: Japanese proficiency at N2 or higher, capable of communication; IT translation/interpretation experience of at least 6 months, with client-facing meeting experience; quick learner, independent, proactive; strong communication, teamwork, and responsible attitude; open-minded, energetic, and positive."
Pharmaceutical Sales Manager,720.0,2.0,Long An and other locations nationwide,"Advise the executive management on sales plans and market development strategies.
Manage OTC Medical Representatives to achieve monthly, quarterly, and annual sales targets.
Support sales reps in field activities and address issues encountered during selling.
Supervise debt collection and report sales performance to executive management.
Build and expand the existing client network and develop new potential customers in the region.
Coordinate with Marketing to implement promotions and after-sales programs for customers."
DevOps Leader,2800.0,0.0,"Hanoi, Vietnam","Lead and mentor the DevOps team to ensure the reliability, scalability, and performance of the SaaS platform.
Drive automation of processes and enhance CI/CD pipelines while embedding security and operational efficiency into development and deployment.
Oversee design, implementation, and management of scalable, secure cloud infrastructure and infrastructure-as-code practices.
Implement and maintain real-time monitoring, alerting, disaster recovery, backup, and high-availability strategies.
Collaborate with product and engineering teams to align DevOps practices with business goals and improve delivery velocity.
Optimize deployment pipelines for faster delivery with fewer errors and automate provisioning, scaling, and security across environments.
Enforce security and compliance practices, including container security and secrets management."
Sales Admin,320.0,1.0,Hanoi,"Process orders and issue sales invoices.
Handle customer feedback and resolve issues related to sales activities.
Support the sales department upon request and proactively communicate to identify challenges and provide assistance.
Provide documents, policy information, and tools to the sales team to support market development.
Classify customers and tailor care policies; assist in designing promotional programs and customer appreciation gestures.
Monitor debt collection and payment progress; prepare sales performance reports for management.
Track and consolidate sales reports and attendance/bonus records; perform other tasks as assigned by supervisors."
Sales Officer / Car Sales Consultant,4000.0,1.0,"Hanoi, Ho Chi Minh City","Identify and contact potential customers, reach out, and arrange meetings to lay groundwork for the sales process.
Assess customer needs to recommend appropriate products and services.
Prepare professional presentations highlighting product advantages when meeting customers.
Advise on company products and negotiate contracts with customers.
Track customer contracts and ensure timely handover of vehicles and documents.
Provide after-sales support and handle customer complaints within scope.
Achieve company targets including sales volumes, deliveries, test drive invitations, showroom/event appointments; maintain accurate data in systems and submit reports as required."
Head of Sales - Beauty Division,2000.0,3.0,Ho Chi Minh City,"Lead and manage the sales team.
Leverage AI to analyze customer data and optimize marketing and sales strategies.
Develop and deliver training programs for sales skills and AI utilization.
Assess marketing campaigns and adjust strategies based on AI-driven analytics.
Build and maintain long-term customer relationships by understanding client needs and objectives.
Recruit, set targets, train, and monitor performance of the sales team; identify new markets and monitor competitors."
